geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 20; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 0; 0; 9;41;
2; 21; 12; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 11;38;
3; 12; 12; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 6;36;
4; 12; 12; 6; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;35;
5; 12; 11; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 7;33;
6; 11; 13; 5; 0.5; 0; 0; 2; 0; 0.03; 0; 0; 3;34;
7; 13; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 5;34;
8; 14; 16; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 5;35;
9; 16; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 5;35;
10; 19; 18; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 10;34;

