geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 18; 18; 9; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 6;1711
2; 18; 18; 9; 0.5; 1; 1; 2; 0; 0.03; 0; 0; 6;1711
3; 18; 19; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1711
4; 19; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 6;1711
5; 19; 17; 9; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1612
6; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 5;1612
7; 17; 17; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1612
8; 17; 16; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 5;1612
9; 16; 15; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 5;1527
10; 15; 16; 7; 0.5; 2; 1; 0; 0; 0.03; 0; 0; 5;1612

