geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 20; 27; 12; 0.2; 0.3; 9; 14; [1, 2, 4, 10, 20] - 1163; 2075;
2; 27; 27; 5; 0.2; 0.3; 9; 14; [1, 2, 9, 11, 20] - 1165; 2104;
3; 27; 24; 5; 0.2; 0.3; 9; 17; [1, 2, 9, 11, 20] - 1165; 2158;
4; 24; 20; 4; 0.2; 0.3; 8; 16; [1, 2, 3, 9, 11, 20] - 1453; 2208;
5; 20; 26; 12; 0.2; 0.3; 9; 15; [1, 3, 9, 11, 20] - 1320; 2158;
6; 26; 23; 5; 0.2; 0.3; 9; 17; [1, 2, 9, 11, 20] - 1165; 2158;
7; 23; 17; 4; 0.2; 0.3; 8; 18; [1, 2, 9, 11, 20] - 1165; 2078;
8; 17; 18; 10; 0.6; 0.3; 8; 17; [1, 3, 9, 11, 20] - 1320; 2208;
9; 18; 20; 10; 0.6; 0.3; 8; 16; [1, 3, 9, 11, 20] - 1320; 2237;
10; 20; 27; 12; 0.2; 0.3; 9; 14; [1, 2, 9, 11, 20] - 1165; 2208;

