geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 18; 20; 10; 0.6; 3; 2; 0; 0; 0.3; 7; 7; 7;1883
2; 20; 22; 12; 0.2; 5; 1; 0; 0; 0.3; 7; 7; 7;1844
3; 22; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1814
4; 22; 20; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 6;1718
5; 20; 20; 12; 0.2; 3; 2; 1; 0; 0.3; 7; 7; 7;1718
6; 20; 22; 12; 0.2; 4; 2; 0; 0; 0.3; 8; 8; 7;1711
7; 22; 22; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1711
8; 22; 22; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1711
9; 22; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1711
10; 22; 23; 4; 0.2; 0; 0; 2; 0; 0.3; 7; 7; 7;1689
11; 23; 24; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 8;1711
12; 24; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 8;1660
13; 23; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1660
14; 22; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 7;1619
15; 23; 24; 4; 0.2; 0; 0; 2; 0; 0.3; 7; 7; 8;1612
16; 24; 23; 4; 0.2; 0; 0; 2; 0; 0.3; 8; 8; 8;1594
17; 23; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 8;1594
18; 23; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 7;1594
19; 23; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 7;1594
20; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1594
21; 23; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1594
22; 22; 22; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 7;1594
23; 22; 23; 4; 0.2; 0; 2; 0; 0; 0.3; 7; 7; 7;1594
24; 23; 22; 4; 0.2; 0; 0; 2; 0; 0.3; 7; 7; 7;1594
25; 22; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 8;1587
26; 23; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 8;1587
27; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1587
28; 23; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 7;1587
29; 23; 21; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1556
30; 21; 21; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1556
31; 21; 22; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1587
32; 22; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1587
33; 22; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 7;1587
34; 23; 25; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 8;1594
35; 25; 23; 5; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 8;1587
36; 23; 24; 4; 0.2; 0; 2; 0; 0; 0.3; 8; 8; 8;1594
37; 24; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 8;1587
38; 23; 22; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1587
39; 22; 22; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 7;1587
40; 22; 21; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1556
41; 21; 20; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1556
42; 20; 23; 12; 0.2; 3; 2; 1; 0; 0.3; 9; 9; 8;1587
43; 23; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1587
44; 23; 21; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1556
45; 21; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1587
46; 22; 21; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1556
47; 21; 21; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1556
48; 21; 21; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1556
49; 21; 21; 4; 0.2; 2; 0; 0; 0; 0.3; 6; 6; 7;1556
50; 21; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1587

