geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 17; 17; 10; 0.6; 3; 1; 1; 0; 0.3; 5; 5; 15;1844
2; 17; 21; 10; 0.6; 2; 2; 1; 0; 0.3; 7; 7; 13;1839
3; 21; 22; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 10;1814
4; 22; 20; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 13;1711
5; 20; 23; 12; 0.2; 4; 0; 2; 0; 0.3; 8; 8; 17;1814
6; 23; 21; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 13;1660
7; 21; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 9;1660
8; 23; 24; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 11;1660
9; 24; 23; 4; 0.2; 0; 2; 0; 0; 0.3; 8; 8; 13;1612
10; 23; 23; 4; 0.2; 0; 0; 2; 0; 0.3; 7; 7; 11;1612
11; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 12;1612
12; 23; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 11;1594
13; 23; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 11;1594
14; 23; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 13;1594
15; 22; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 10;1594
16; 23; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 11;1594
17; 23; 25; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 10;1612
18; 25; 25; 5; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 13;1612
19; 25; 26; 5; 0.2; 0; 2; 0; 0; 0.3; 9; 9; 13;1619
20; 26; 26; 5; 0.2; 1; 0; 1; 0; 0.3; 9; 9; 14;1619

