geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 40; 31; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 14;
2; 31; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 16;
3; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
4; 19; 22; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
5; 22; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
6; 19; 22; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
7; 22; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
8; 16; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
9; 17; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 7;
10; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
11; 20; 21; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 10;
12; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
13; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
14; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
15; 19; 22; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
16; 22; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 6;
17; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
18; 20; 24; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 7;
19; 24; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;
20; 21; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 10;
21; 14; 16; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 5;
22; 16; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 7;
23; 18; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
24; 19; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 11;
25; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
26; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
27; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;
28; 23; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
29; 19; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7;
30; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
31; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
32; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
33; 19; 22; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 6;
34; 22; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8;
35; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
36; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
37; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 10;
38; 21; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;
39; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
40; 19; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7;
41; 21; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;
42; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
43; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
44; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
45; 23; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
46; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
47; 23; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
48; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 10;
49; 21; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 4;
50; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;
51; 22; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 4;
52; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
53; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
54; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
55; 21; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 2;
56; 22; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;
57; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
58; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
59; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
60; 21; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8;
61; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
62; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
63; 18; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;
64; 18; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
65; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
66; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 10;
67; 21; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4;
68; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 10;
69; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
70; 21; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4;
71; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;
72; 23; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 10;
73; 16; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
74; 18; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;
75; 19; 21; 8; 0.1; 4; 0; 0; 0; 0.03; 1; 1; 7;
76; 21; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
77; 18; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
78; 21; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
79; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
80; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
81; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
82; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
83; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
84; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
85; 23; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;
86; 19; 22; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
87; 22; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
88; 20; 20; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 11;
89; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
90; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
91; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
92; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
93; 21; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;
94; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
95; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;
96; 22; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
97; 19; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
98; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
99; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
100; 21; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 4;
101; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
102; 21; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4;
103; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
104; 21; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 4;
105; 20; 20; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 11;
106; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
107; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
108; 21; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;
109; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
110; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;

