geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 40; 27; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 18;
2; 27; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 15;
3; 15; 17; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;
4; 17; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;
5; 20; 24; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 7;
6; 24; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 12;
7; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
8; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
9; 17; 21; 8; 0.1; 0; 0; 4; 0; 0.03; 1; 1; 5;
10; 21; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;
11; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
12; 16; 16; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
13; 16; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
14; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
15; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
16; 20; 21; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 10;
17; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
18; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
19; 18; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
20; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
21; 21; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
22; 19; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7;
23; 21; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 10;
24; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;
25; 14; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
26; 15; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;
27; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;
28; 16; 16; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;
29; 16; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
30; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
31; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
32; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
33; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;
34; 22; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;
35; 21; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
36; 15; 17; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 5;
37; 17; 20; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 6;
38; 20; 21; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 10;
39; 21; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8;
40; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
41; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
42; 17; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;
43; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
44; 23; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;
45; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
46; 18; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
47; 20; 22; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;
48; 22; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8;
49; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
50; 19; 21; 8; 0.1; 0; 0; 4; 0; 0.03; 1; 1; 7;

