geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 44; 6; 0.1; 2; 0; 1; 0; 0.03; 1; 1; 23;41;
2; 44; 24; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 25;36;
3; 24; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;35;
4; 21; 11; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 13;32;
5; 11; 12; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 4;33;
6; 12; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;33;
7; 14; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 8;33;
8; 13; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;33;
9; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;34;
10; 15; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;33;

