geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo;media
1;60;39;6;0.1;3;0;0;0;0.03;2;2;29;41
2;39;22;4;0.1;2;0;0;0;0.03;2;2;23;36
3;22;16;2;0.1;0;0;1;0;0.03;1;1;9;34
4;16;18;8;0.5;2;0;2;0;0.03;1;1;7;35
5;18;19;10;0.5;3;0;2;0;0.03;1;1;10;35
6;19;19;10;0.5;2;0;3;0;0.03;1;1;11;35
7;19;23;10;0.5;3;0;2;0;0.03;1;1;7;35
8;23;20;2;0.1;0;0;1;0;0.03;1;1;6;35
9;20;20;2;0.1;1;0;0;0;0.03;1;1;3;35
10;20;14;2;0.1;0;0;1;0;0.03;1;1;9;33
11;14;16;8;0.5;3;0;1;0;0.03;1;1;7;33
12;16;18;8;0.5;3;0;1;0;0.03;1;1;7;34
13;18;22;10;0.5;3;0;2;0;0.03;1;1;7;34
14;22;17;2;0.1;1;0;0;0;0.03;1;1;8;33
15;17;19;8;0.5;2;0;2;0;0.03;1;1;7;33
16;19;21;10;0.5;2;0;3;0;0.03;1;1;9;34
17;21;18;2;0.1;0;0;1;0;0.03;1;1;6;33
18;18;22;10;0.5;1;0;4;0;0.03;1;1;7;33
19;22;17;2;0.1;0;0;1;0;0.03;1;1;8;32
20;17;18;8;0.5;3;0;1;0;0.03;1;1;8;33

