geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 55; 8; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 35;42;
2; 55; 30; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 30;37;
3; 30; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 19;34;
4; 14; 17; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 4;35;
5; 17; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7;35;
6; 19; 21; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 7;35;
7; 21; 11; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 13;33;
8; 11; 11; 4; 0.5; 2; 0; 0; 0; 0.03; 1; 1; 5;33;
9; 11; 13; 4; 0.5; 2; 0; 0; 0; 0.03; 1; 1; 3;33;
10; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;33;
11; 14; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 4;33;
12; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
13; 18; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;34;
14; 20; 21; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 10;33;
15; 21; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;33;
16; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;32;
17; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32;
18; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;32;
19; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;32;
20; 22; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8;31;
21; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;32;
22; 19; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32;
23; 19; 20; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;32;
