geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 59; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 31;42;
2; 59; 33; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 31;37;
3; 33; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 17;34;
4; 19; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7;34;
5; 21; 14; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 10;33;
6; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;33;
7; 14; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;33;
8; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
9; 17; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;33;
10; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;33;
11; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;34;
12; 20; 19; 10; 0.5; 0; 0; 5; 0; 0.03; 1; 1; 12;33;
13; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;34;
14; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;34;
15; 22; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;33;
16; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;33;
17; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;33;
18; 18; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;33;
19; 19; 23; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 5;34;
20; 23; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 11;32;
21; 15; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;32;
22; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;32;
23; 16; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;33;
24; 19; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;33;
25; 19; 21; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 7;34;
26; 21; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;33;
27; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
28; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;34;
29; 22; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;33;
30; 18; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 6;33;

