geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 44; 6; 0.1; 1; 0; 2; 0; 0.03; 1; 1; 23;41;
2; 44; 25; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 24;37;
3; 25; 13; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 14;33;
4; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 4;33;
5; 15; 16; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;34;
6; 16; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8;34;
7; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7;34;
8; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 8;34;
9; 17; 16; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 9;33;
10; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7;34;

