geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 42; 6; 0.1; 2; 0; 1; 0; 0.03; 1; 1; 25;42;
2; 42; 21; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 26;36;
3; 21; 11; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 12;33;
4; 11; 12; 5; 0.5; 0; 0; 2; 0; 0.03; 0; 0; 4;33;
5; 12; 11; 6; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 7;33;
6; 11; 12; 5; 0.5; 1; 0; 1; 0; 0.03; 0; 0; 4;33;
7; 12; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 5;33;
8; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 4;33;
9; 15; 17; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 5;33;
10; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 7;33;
11; 18; 18; 9; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 9;33;
12; 18; 20; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7;33;
13; 20; 20; 10; 0.1; 1; 0; 4; 0; 0.03; 0; 0; 10;33;
14; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 9;33;
15; 21; 14; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 9;31;
16; 14; 15; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;32;
17; 15; 15; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 7;32;
18; 15; 16; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;32;
19; 16; 16; 8; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 8;32;
20; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 7;32;

