geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; NumElitismo; melhor; mediana;
1; 33; 26; 6; 0.2; 0.3; 9; 22; [1, 4, 10, 20] - 1086; 1718;
2; 26; 26; 5; 0.2; 0.3; 9; 14; [1, 4, 10, 20] - 1086; 1711;
3; 26; 25; 5; 0.2; 0.3; 9; 15; [1, 4, 10, 20] - 1086; 1689;
4; 25; 21; 5; 0.2; 0.3; 7; 16; [1, 4, 10, 20] - 1086; 1612;
5; 21; 23; 4; 0.2; 0.3; 7; 9; [1, 4, 10, 20] - 1086; 1612;
6; 23; 22; 4; 0.2; 0.3; 7; 12; [1, 4, 10, 20] - 1086; 1612;
7; 22; 23; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1612;
8; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1594;
9; 23; 22; 4; 0.2; 0.3; 7; 12; [1, 4, 10, 20] - 1086; 1594;
10; 22; 22; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1594;
11; 22; 22; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1594;
12; 22; 21; 4; 0.2; 0.3; 7; 12; [1, 4, 10, 20] - 1086; 1556;
13; 21; 22; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1594;
14; 22; 22; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1594;
15; 22; 23; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1594;
16; 23; 23; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1594;
17; 23; 21; 4; 0.2; 0.3; 7; 13; [1, 4, 10, 20] - 1086; 1556;
18; 21; 21; 4; 0.2; 0.3; 6; 10; [1, 4, 10, 20] - 1086; 1556;
19; 21; 21; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1556;
20; 21; 22; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1594;

