geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 46; 12; 0.2; 0.3; 21; 47; [1, 2, 4, 10, 14, 15, 20] - 31; 49;
2; 46; 35; 9; 0.2; 0.3; 16; 36; [1, 2, 5, 12, 19, 20] - 32; 51;
3; 35; 27; 7; 0.2; 0.3; 12; 27; [1, 2, 5, 12, 19, 20] - 32; 49;
4; 27; 20; 5; 0.2; 0.3; 9; 21; [1, 2, 5, 12, 19, 20] - 32; 48;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 5, 12, 19, 20] - 32; 48;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 5, 10, 13, 19, 20] - 33; 48;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 53;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 49;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 50;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 49;

