geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 46; 12; 0.2; 0.3; 21; 47; [1, 4, 10, 20] - 1086; 1527;
2; 46; 35; 9; 0.2; 0.3; 16; 36; [1, 4, 10, 20] - 1086; 1832;
3; 35; 27; 7; 0.2; 0.3; 12; 27; [1, 4, 10, 20] - 1086; 1832;
4; 27; 20; 5; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1926;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1926;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1883;

