geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 40; 29; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 16
2; 29; 13; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 19
3; 13; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 4
4; 16; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6
5; 19; 21; 8; 0.1; 4; 0; 0; 0; 0.03; 1; 1; 7
6; 21; 13; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 11
7; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6
8; 14; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6
9; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5
10; 17; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 7
11; 19; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 7
12; 21; 11; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 13
13; 11; 12; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 4
14; 12; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 4
15; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6
16; 16; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 7
17; 18; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7
18; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10
19; 21; 12; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 12
20; 12; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5
21; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7
22; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7
23; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7
24; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7
25; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7
26; 14; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5
27; 16; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7
28; 18; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8
29; 19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9
30; 19; 22; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6

